id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6836303,Contemporary New Home Near Downtown,23314330,Sara,District 19,36.18286236007247,-86.79435002866381,Entire home/apt,400,1,0,,,2,349
6855002,Charming 2 bedroom in Germantown,2405679,Elizabeth,District 19,36.18304573314452,-86.79146087304336,Entire home/apt,229,1,0,,,1,4
6822448,Spare Room in Germantown,33778704,Alex,District 19,36.1813678555809,-86.79367426188894,Private room,125,1,1,2015-06-21,1,1,246
6324818,1bdrm apartment close to downtown,32913292,Lanre,District 19,36.16481322818968,-86.80450622922937,Entire home/apt,72,1,2,2015-06-19,2,1,36
3694888,Location! Music Row Gulch Downtown,18816131,Sean,District 19,36.15052684399212,-86.78960719873488,Entire home/apt,149,1,46,2015-06-26,8.41,2,340
2140341,Downtown Loft: Near Everything,10923196,Andrea,District 19,36.164278763035625,-86.77704328395136,Entire home/apt,225,2,41,2015-06-27,2.41,1,274
5801790,"2BR/1.5BA Upscale, Modern Retreat",4641823,Erica,District 19,36.18071281076386,-86.7900371514563,Entire home/apt,249,2,0,,,16,340
5115638,Music City gem!Close to everything!,24193101,Allan,District 19,36.180128193822526,-86.79133289249829,Entire home/apt,125,1,13,2015-06-15,3.39,2,305
5802219,120-second walk to CMAFest,25365961,Nathan,District 19,36.15640619652863,-86.76751472457704,Entire home/apt,375,3,4,2015-04-27,1.43,1,64
6851054,"Modern 1-BR, 1-BA apt downtown",35898362,Dale,District 19,36.160169196445594,-86.78918572211361,Entire home/apt,200,1,0,,,1,15
65448,Heart of Downtown Nashville  ,319913,Amy & Paul,District 19,36.165385792096885,-86.77589196185372,Entire home/apt,199,3,9,2015-04-21,0.21,14,310
6346346,Perfect Nashville July 4th Location,29525491,Justin,District 19,36.17330697990071,-86.7853801501447,Entire home/apt,225,2,1,2015-06-16,1,1,34
5601610,One Bedroom in the Gulch ,6048573,Stephanie,District 19,36.154144134627295,-86.78194843127869,Entire home/apt,150,2,6,2015-06-22,1.73,1,6
3585969,Downtown Condo with a View,18063736,Andrea,District 19,36.15848887953331,-86.77388863093367,Entire home/apt,250,1,10,2015-06-15,0.87,2,4
4738689,Luxurious New Downtown 1 Bdr Condo!,24241984,Patsy,District 19,36.15700417813203,-86.76659338706664,Entire home/apt,229,2,8,2015-06-01,1.37,9,293
5833674,Great Deal! Downtown Nashville,19356150,Alexandra,District 19,36.16133864632491,-86.78929115740317,Entire home/apt,199,2,0,,,9,339
5833676,"Pool, Gym and Free Wifi! Downtown! ",19356150,Alexandra,District 19,36.16211404171109,-86.78975063354137,Entire home/apt,399,2,0,,,9,349
5833678,LAST MINUTE DEAL! BEST LOCATION!,19356150,Alexandra,District 19,36.162055580862656,-86.78900876007881,Entire home/apt,249,3,0,,,9,330
5833683,"Fantastic 2BR! Free WiFi, Pool, Gym",19356150,Alexandra,District 19,36.161199581769786,-86.78940423045279,Entire home/apt,449,3,0,,,9,345
5309532,Luxurious Downtown Condo  #503!,24241984,Patsy,District 19,36.156985613781345,-86.76633650749987,Entire home/apt,299,2,2,2015-05-03,0.44,9,266
5309543,Cozy 1 BR Apt. 5 min. from downtown,26903087,Will,District 19,36.14578067118411,-86.79355125035518,Entire home/apt,129,1,11,2015-06-15,2.68,1,0
6358720,Top Floor City & River View!,33115537,Lea,District 19,36.15670440194436,-86.76709993033168,Entire home/apt,225,2,2,2015-06-12,2,1,57
6347731,200 feet From CMA water front stage,33064395,Chad,District 19,36.16247880314908,-86.79038768228794,Entire home/apt,250,1,1,2015-05-27,0.81,1,365
5683971,Historic & Modern in Nashville! BL2,4962900,Jordan,District 19,36.16239447230863,-86.77726574056366,Entire home/apt,294,2,2,2015-05-18,1.00,38,351
5793248,Amazing views of Downtown Nashville,30054773,Lewis,District 19,36.172519341228444,-86.78462706448744,Entire home/apt,274,1,8,2015-06-28,4.00,1,349
5691182,Downtown Condo-Germantown District,27438701,Andrew,District 19,36.17758127074794,-86.79080931033451,Entire home/apt,199,2,1,2015-04-06,0.34,1,65
3717835,Downtown Hostel - Bunk Bed #2,16246720,Sara And The Team,District 19,36.16442691297193,-86.77563178442831,Shared room,35,1,17,2015-06-29,1.76,22,343
3717973,Downtown Hostel - Private Room #2,16246720,Sara And The Team,District 19,36.16419395364363,-86.77508477358327,Private room,128,1,5,2015-04-13,0.52,22,353
4776845,"1,200 Sq Ft Loft @ The Gulch",24635344,Sandra,District 19,36.150581189097984,-86.78584662323757,Entire home/apt,140,1,8,2015-06-16,1.73,1,8
4890652,Downtown Condo - Walk TO BROADWAY,25162776,Brad,District 19,36.172980721705144,-86.78166852876316,Entire home/apt,130,2,6,2015-06-25,1.03,4,315
