room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13680525,1271,16475731,Entire home/apt,,Nashville,,7,8,5.0,12,4.0,,525.0,,2017-05-16 09:24:29.412660,36.196172,-86.738563,0101000020E610000048C2BE9D44AF55C00932022A1C194240
6543120,1271,12517907,Entire home/apt,,Nashville,,21,0,0.0,6,3.0,,600.0,,2017-05-16 09:24:27.444871,36.154753,-86.822828,0101000020E6100000EB8EC536A9B455C09CFA40F2CE134240
16323278,1271,36743002,Entire home/apt,,Nashville,,6,3,5.0,10,3.0,,595.0,,2017-05-16 09:24:20.389392,36.167168,-86.739762,0101000020E6100000B534B74258AF55C00778D2C265154240
14802953,1271,91995688,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,699.0,,2017-05-16 09:24:18.447219,36.169033,-86.784248,0101000020E610000005FD851E31B255C0EE7893DFA2154240
16070975,1271,104703688,Entire home/apt,,Nashville,,24,40,5.0,6,2.0,,88.0,,2017-05-16 09:03:30.458869,36.137714,-86.836935,0101000020E61000002D78D15790B555C0C619C39CA0114240
4358798,1271,16922948,Entire home/apt,,Nashville,,7,33,4.5,4,1.0,,90.0,,2017-05-16 09:03:11.726193,36.192405,-86.725289,0101000020E610000082C98D226BAE55C01F4B1FBAA0184240
3043332,1271,293488,Entire home/apt,,Nashville,,15,94,4.5,3,1.0,,85.0,,2017-05-16 09:01:58.916307,36.164289,-86.683836,0101000020E6100000F5F411F8C3AB55C0D80B056C07154240
16082212,1271,142776,Entire home/apt,,Nashville,,5,18,4.5,4,1.0,,95.0,,2017-05-16 09:01:57.306785,36.192584,-86.760996,0101000020E6100000C2189128B4B055C0CEDDAE97A6184240
16601868,1271,26269624,Entire home/apt,,Nashville,,7,22,5.0,4,1.0,,90.0,,2017-05-16 09:01:57.274624,36.211994,-86.711808,0101000020E6100000FF4124438EAD55C05F79909E221B4240
16310454,1271,102202510,Entire home/apt,,Nashville,,8,2,0.0,4,2.0,,76.0,,2017-05-16 09:01:53.382196,36.214172,-86.732846,0101000020E610000048C0E8F2E6AE55C005DCF3FC691B4240
15239112,1271,96884692,Entire home/apt,,Nashville,,13,53,5.0,6,2.0,,79.0,,2017-05-16 09:01:49.062676,36.10705,-86.703058,0101000020E61000003C4CFBE6FEAC55C0B6847CD0B30D4240
17009982,1271,114031678,Entire home/apt,,Nashville,,24,13,4.5,6,2.0,,77.0,,2017-05-16 09:01:47.652429,36.150524,-86.853349,0101000020E6100000C1C41F459DB655C0ADA1D45E44134240
406962,1271,739742,Entire home/apt,,Nashville,,23,156,4.5,4,1.0,,75.0,,2017-05-16 09:01:47.586286,36.091364,-86.90065,0101000020E61000001DC9E53FA4B955C01004C8D0B10B4240
18734967,1271,125774929,Entire home/apt,,Nashville,,22,0,0.0,5,2.0,,75.0,,2017-05-16 09:01:45.608519,36.0767,-86.942004,0101000020E6100000E02C25CB49BC55C036CD3B4ED1094240
15436526,1271,60527594,Entire home/apt,,Nashville,,8,32,5.0,6,2.0,,79.0,,2017-05-16 09:01:44.179154,36.22687,-86.735113,0101000020E6100000537765170CAF55C0C5387F130A1D4240
16310394,1271,105602635,Entire home/apt,,Nashville,,19,5,3.0,6,2.0,,899.0,,2017-05-16 09:01:35.349765,36.167229,-86.782128,0101000020E61000004C5299620EB255C0ADF886C267154240
17866173,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:01:35.330491,36.150005,-86.783494,0101000020E61000002FA704C424B255C0459E245D33134240
16310953,1271,105602635,Entire home/apt,,Nashville,,19,1,0.0,6,2.0,,899.0,,2017-05-16 09:01:35.292421,36.167746,-86.784282,0101000020E6100000DB3521AD31B255C0750470B378154240
17143953,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:01:35.274245,36.163868,-86.781384,0101000020E61000008867093202B255C0336E6AA0F9144240
